"Common name","Scientific name","Taxon ID","Ensembl Assembly","Accession","Genebuild Method","Variation database","Regulation database"
"Blue-ringed sea krait","Laticauda laticaudata","8630","latLat_1.0","GCA_004320025.1","Full genebuild","-","-"
"Blunt-snouted clingfish","Gouania willdenowi","441366","fGouWil2.1","GCA_900634775.1","Full genebuild","-","-"
"Bolivian squirrel monkey","Saimiri boliviensis boliviensis","39432","SaiBol1.0","GCA_000235385.1","Full genebuild","-","Y"
"Bonobo","Pan paniscus","9597","panpan1.1","GCA_000258655.2","Full genebuild","-","Y"
"Brazilian guinea pig","Cavia aperea","37548","CavAp1.0","GCA_000688575.1","Full genebuild","-","-"
"Brown trout","Salmo trutta","8032","fSalTru1.1","GCA_901001165.1","Full genebuild","-","-"
"Budgerigar","Melopsittacus undulatus","13146","Melopsittacus_undulatus_6.3","GCA_000238935.1","Full genebuild","-","-"
"Burrowing owl","Athene cunicularia","194338","athCun1","GCA_003259725.1","Full genebuild","-","-"
"Burton's mouthbrooder","Haplochromis burtoni","8153","AstBur1.0","GCA_000239415.1","Full genebuild","-","-"
"Bushbaby","Otolemur garnettii","30611","OtoGar3","GCA_000181295.3","Full genebuild","-","-"
"C.intestinalis","Ciona intestinalis","7719","KH","GCA_000224145.1","Full genebuild","-","Y"
"C.savignyi","Ciona savignyi","51511","CSAV 2.0","-","Full genebuild","-","-"
"C. elegans","Caenorhabditis elegans","6239","WBcel235","GCA_000002985.3","Import","-","Y"
"California sea lion","Zalophus californianus","9704","mZalCal1.pri","GCA_009762305.1","Full genebuild","-","-"
"Canada lynx","Lynx canadensis","61383","mLynCan4_v1.p","GCA_007474595.1","Full genebuild","-","-"
"Capuchin","Cebus capucinus imitator","2715852","Cebus_imitator-1.0","GCA_001604975.1","Full genebuild","-","Y"
"Cat","Felis catus","9685","Felis_catus_9.0","GCA_000181335.4","Full genebuild","Y","Y"
"Central bearded dragon","Pogona vitticeps","103695","pvi1.1","GCA_900067755.1","Full genebuild","-","-"
"Chacoan peccary","Catagonus wagneri","51154","CatWag_v2_BIUU_UCD","GCA_004024745.2","Full genebuild","-","-"
"Channel bull blenny","Cottoperca gobio","56716","fCotGob3.1","GCA_900634415.1","Full genebuild","-","-"
"Channel catfish","Ictalurus punctatus","7998","IpCoco_1.2","GCA_001660625.1","Full genebuild","-","Y"
"Chicken","Gallus gallus","9031","GRCg6a","GCA_000002315.5","Full genebuild","Y","Y"
"Chilean tinamou","Nothoprocta perdicaria","30464","notPer1","GCA_003342845.1","Full genebuild","-","-"
"Chimpanzee","Pan troglodytes","9598","Pan_tro_3.0","GCA_000001515.5","Full genebuild","Y","Y"
"Chinese hamster CHOK1GS","Cricetulus griseus","10029","CHOK1GS_HDv1","GCA_900186095.1","Full genebuild","-","Y"
"Chinese hamster CriGri","Cricetulus griseus","10029","CriGri_1.0","GCA_000223135.1","Full genebuild","-","Y"
"Chinese hamster PICR","Cricetulus griseus","10029","CriGri-PICR","GCA_003668045.1","Full genebuild","-","Y"
"Chinese medaka","Oryzias sinensis","183150","ASM858656v1","GCA_008586565.1","Full genebuild","-","-"
"Chinese softshell turtle","Pelodiscus sinensis","13735","PelSin_1.0","GCA_000230535.1","Mixed strategy build","-","-"
"Chinook salmon","Oncorhynchus tshawytscha","74940","Otsh_v1.0","GCA_002872995.1","Full genebuild","-","-"
"Climbing perch","Anabas testudineus","64144","fAnaTes1.2","GCA_900324465.2","Full genebuild","-","-"
"Clown anemonefish","Amphiprion ocellaris","80972","AmpOce1.0","GCA_002776465.1","Full genebuild","-","-"
"Coelacanth","Latimeria chalumnae","7897","LatCha1","GCA_000225785.1","Full genebuild","-","-"
"Coho salmon","Oncorhynchus kisutch","8019","Okis_V2","GCA_002021735.2","Full genebuild","-","-"
"Collared flycatcher","Ficedula albicollis","59894","FicAlb1.5","GCA_000247815.2","Full genebuild","-","-"
"Common canary","Serinus canaria","9135","SCA1","GCA_000534875.1","Full genebuild","-","-"
"Common carp","Cyprinus carpio","7962","common_carp_genome","GCA_000951615.2","Full genebuild","-","-"
"Common carp german mirror","Cyprinus carpio","7962","German_Mirror_carp_1.0","GCA_004011555.1","Full genebuild","-","-"
"Common carp hebao red","Cyprinus carpio","7962","Hebao_red_carp_1.0","GCA_004011595.1","Full genebuild","-","-"
"Common carp huanghe","Cyprinus carpio","7962","Hunaghe_carp_2.0","GCA_004011575.1","Full genebuild","-","-"
"Common kestrel","Falco tinnunculus","100819","FalTin1.0","GCA_010332995.1","Full genebuild","-","-"
"Common snapping turtle","Chelydra serpentina","8475","Chelydra_serpentina-1.0","GCA_007922165.1","Full genebuild","-","-"
"Common wall lizard","Podarcis muralis","64176","PodMur_1.0","GCA_004329235.1","Full genebuild","-","-"
"Common wombat","Vombatus ursinus","29139","bare-nosed_wombat_genome_assembly","GCA_900497805.2","Full genebuild","-","-"
"Coquerel's sifaka","Propithecus coquereli","379532","Pcoq_1.0","GCA_000956105.1","Full genebuild","-","Y"
"Cow","Bos taurus","9913","ARS-UCD1.2","GCA_002263795.2","Full genebuild","Y","Y"
"Crab-eating macaque","Macaca fascicularis","9541","Macaca_fascicularis_6.0","GCA_011100615.1","Full genebuild","-","-"
"Damara mole rat","Fukomys damarensis","885580","DMR_v1.0","GCA_000743615.1","Full genebuild","-","-"
"Dark-eyed junco","Junco hyemalis","40217","ASM382977v1","GCA_003829775.1","Full genebuild","-","-"
"Daurian ground squirrel","Spermophilus dauricus","99837","ASM240643v1","GCA_002406435.1","Full genebuild","-","-"
"Degu","Octodon degus","10160","OctDeg1.0","GCA_000260255.1","Full genebuild","-","-"
"Denticle herring","Denticeps clupeoides","299321","fDenClu1.1","GCA_900700375.1","Full genebuild","-","-"
"Dingo","Canis lupus dingo","286419","ASM325472v1","GCA_003254725.1","Full genebuild","-","-"
"Dog","Canis lupus familiaris","9615","ROS_Cfam_1.0","GCA_014441545.1","Full genebuild","Y","Y"
"Dog - Basenji","Canis lupus familiaris","9615","Basenji_breed-1.1","GCA_004886185.1","Full genebuild","-","Y"
"Dog - Boxer","Canis lupus familiaris","9615","Dog10K_Boxer_Tasha","GCA_000002285.4","Full genebuild","Y","Y"
"Dog - Great Dane","Canis lupus familiaris","9615","UMICH_Zoey_3.1","GCA_005444595.1","Full genebuild","-","Y"
"Dolphin","Tursiops truncatus","9739","turTru1","-","Projection build","-","-"
"Domestic yak","Bos grunniens","30521","LU_Bosgru_v3.0","GCA_005887515.1","Full genebuild","-","-"
"Donkey","Equus asinus asinus","83772","ASM303372v1","GCA_003033725.1","Full genebuild","-","-"
"Drill","Mandrillus leucophaeus","9568","Mleu.le_1.0","GCA_000951045.1","Full genebuild","-","Y"
"D. melanogaster","Drosophila melanogaster","7227","BDGP6.32","GCA_000001215.4","Import","-","Y"
"Duck","Anas platyrhynchos platyrhynchos","8840","CAU_duck1.0","GCA_002743455.1","Full genebuild","-","Y"
"Eastern brown snake","Pseudonaja textilis","8673","EBS10Xv2-PRI","GCA_900518735.1","Full genebuild","-","-"
"Eastern buzzard","Buteo japonicus","224669","ButJap1.0","GCA_010312235.1","Full genebuild","-","-"
"Eastern happy","Astatotilapia calliptera","8154","fAstCal1.2","GCA_900246225.3","Full genebuild","-","-"
"Eastern spot-billed duck","Anas zonorhyncha","75864","ASM222487v1","GCA_002224875.1","Full genebuild","-","-"
"Electric eel","Electrophorus electricus","8005","Ee_SOAP_WITH_SSPACE","GCA_003665695.2","Full genebuild","-","-"
"Elephant","Loxodonta africana","9785","Loxafr3.0","GCA_000001905.1","Full genebuild","-","-"
"Elephant shark","Callorhinchus milii","7868","Callorhinchus_milii-6.1.3","GCA_000165045.2","Full genebuild","-","-"
"Emu","Dromaius novaehollandiae","8790","droNov1","GCA_003342905.1","Full genebuild","-","-"
"Eurasian eagle-owl","Bubo bubo","30461","BubBub1.0","GCA_010303855.1","Full genebuild","-","-"
"Eurasian red squirrel","Sciurus vulgaris","55149","mSciVul1.1","GCA_902686455.1","Full genebuild","-","-"
"Eurasian sparrowhawk","Accipiter nisus","211598","Accipiter_nisus_ver1.0","GCA_004320145.1","Full genebuild","-","-"
"European seabass","Dicentrarchus labrax","13489","seabass_V1.0","GCA_000689215.1","Full genebuild","-","-"
"Ferret","Mustela putorius furo","9669","MusPutFur1.0","GCA_000215625.1","Mixed strategy build","-","-"
"Fugu","Takifugu rubripes","31033","fTakRub1.2","GCA_901000725.2","Full genebuild","-","-"
"Gelada","Theropithecus gelada","9565","Tgel_1.0","GCA_003255815.1","Full genebuild","-","Y"
"Giant panda","Ailuropoda melanoleuca","9646","ASM200744v2","GCA_002007445.2","Full genebuild","-","-"
"Gibbon","Nomascus leucogenys","61853","Nleu_3.0","GCA_000146795.3","Full genebuild","Y","Y"
"Gilthead seabream","Sparus aurata","8175","fSpaAur1.1","GCA_900880675.1","Full genebuild","-","-"
"Goat","Capra hircus","9925","ARS1","GCA_001704415.1","Full genebuild","Y","Y"
"Goat (black bengal)","Capra hircus","9925","CVASU_BBG_1.0","GCA_004361675.1","Full genebuild","-","-"
"Golden Hamster","Mesocricetus auratus","10036","MesAur1.0","GCA_000349665.1","Full genebuild","-","Y"
"Golden eagle","Aquila chrysaetos chrysaetos","223781","bAquChr1.2","GCA_900496995.2","Full genebuild","-","-"
"Golden pheasant","Chrysolophus pictus","9089","Chrysolophus_pictus_GenomeV1.0","GCA_003413605.1","Full genebuild","-","-"
"Golden snub-nosed monkey","Rhinopithecus roxellana","61622","Rrox_v1","GCA_000769185.1","Full genebuild","-","Y"
"Golden-collared manakin","Manacus vitellinus","328815","ASM171598v2","GCA_001715985.2","Full genebuild","-","-"
"Golden-line barbel","Sinocyclocheilus grahami","75366","SAMN03320097.WGS_v1.1","GCA_001515645.1","Full genebuild","-","-"
"Goldfish","Carassius auratus","7957","ASM336829v1","GCA_003368295.1","Full genebuild","-","-"
"Goodes thornscrub tortoise","Gopherus evgoodei","1825980","rGopEvg1_v1.p","GCA_007399415.1","Full genebuild","-","-"
"Gorilla","Gorilla gorilla gorilla","9595","gorGor4","GCA_000151905.3","Full genebuild","-","Y"
"Gouldian finch","Erythrura gouldiae","44316","GouldianFinch","GCA_003676055.1","Full genebuild","-","-"
"Great Tit","Parus major","9157","Parus_major1.1","GCA_001522545.2","Full genebuild","Y","-"
"Great spotted kiwi","Apteryx haastii","8823","aptHaa1","GCA_003342985.1","Full genebuild","-","-"
"Greater amberjack","Seriola dumerili","41447","Sdu_1.0","GCA_002260705.1","Full genebuild","-","-"
"Greater bamboo lemur","Prolemur simus","1328070","Prosim_1.0","GCA_003258685.1","Full genebuild","-","Y"
"Greater horseshoe bat","Rhinolophus ferrumequinum","59479","mRhiFer1_v1.p","GCA_004115265.2","Full genebuild","-","-"
"Green anole","Anolis carolinensis","28377","AnoCar2.0v2","GCA_000090745.2","Full genebuild","-","-"
"Guinea Pig","Cavia porcellus","10141","Cavpor3.0","GCA_000151735.1","Full genebuild","-","Y"
"Guppy","Poecilia reticulata","8081","Guppy_female_1.0_MT","GCA_000633615.2","Full genebuild","-","-"
"Hagfish","Eptatretus burgeri","7764","Eburgeri_3.2","GCA_900186335.2","Full genebuild","-","-"
"Hedgehog","Erinaceus europaeus","9365","eriEur1","-","Projection build","-","-"
"Helmeted guineafowl","Numida meleagris","8996","NumMel1.0","GCA_002078875.2","Full genebuild","-","-"
"Horned golden-line barbel","Sinocyclocheilus rhinocerous","307959","SAMN03320098_v1.1","GCA_001515625.1","Full genebuild","-","-"
"Horse","Equus caballus","9796","EquCab3.0","GCA_002863925.1","Full genebuild","Y","Y"
"Huchen","Hucho hucho","62062","ASM331708v1","GCA_003317085.1","Full genebuild","-","-"
"Human","Homo sapiens","9606","GRCh38.p13","GCA_000001405.28","Full genebuild","Y","Y"
"Hybrid - Bos Indicus","Bos indicus x Bos taurus","30522","UOA_Brahman_1","GCA_003369695.2","Full genebuild","-","-"
"Hybrid - Bos Taurus","Bos indicus x Bos taurus","30522","UOA_Angus_1","GCA_003369685.2","Full genebuild","-","-"
"Hyrax","Procavia capensis","9813","proCap1","-","Projection build","-","-"
"Indian cobra","Naja naja","35670","Nana_v5","GCA_009733165.1","Full genebuild","-","-"
"Indian glassy fish","Parambassis ranga","210632","fParRan2.1","GCA_900634625.1","Full genebuild","-","-"
"Indian medaka","Oryzias melastigma","30732","Om_v0.7.RACA","GCA_002922805.1","Full genebuild","-","-"
"Indian peafowl","Pavo cristatus","9049","AIIM_Pcri_1.0","GCA_005519975.1","Full genebuild","-","-"
"Japanese medaka HNI","Oryzias latipes","8090","ASM223471v1","GCA_002234715.1","Full genebuild","-","-"
"Japanese medaka HSOK","Oryzias latipes","8090","ASM223469v1","GCA_002234695.1","Full genebuild","-","-"
"Japanese medaka HdrR","Oryzias latipes","8090","ASM223467v1","GCA_002234675.1","Full genebuild","-","-"
"Japanese quail","Coturnix japonica","93934","Coturnix_japonica_2.0","GCA_001577835.1","Full genebuild","-","-"
"Javanese ricefish","Oryzias javanicus","123683","OJAV_1.1","GCA_003999625.1","Full genebuild","-","-"
"Jewelled blenny","Salarias fasciatus","181472","fSalaFa1.1","GCA_902148845.1","Full genebuild","-","-"
"Kakapo","Strigops habroptila","2489341","bStrHab1_v1.p","GCA_004027225.1","Full genebuild","-","-"
"Kangaroo rat","Dipodomys ordii","10020","Dord_2.0","GCA_000151885.2","Full genebuild","-","-"
"Koala","Phascolarctos cinereus","38626","phaCin_unsw_v4.1","GCA_002099425.1","Full genebuild","-","-"
"Komodo dragon","Varanus komodoensis","61221","ASM479886v1","GCA_004798865.1","Full genebuild","-","-"
"Lamprey","Petromyzon marinus","7757","Pmarinus_7.0","-","Full genebuild","-","-"
"Large yellow croaker","Larimichthys crocea","215358","L_crocea_2.0","GCA_000972845.2","Full genebuild","-","-"
"Leishan spiny toad","Leptobrachium leishanense","445787","ASM966780v1","GCA_009667805.1","Full genebuild","-","-"
"Leopard","Panthera pardus","9691","PanPar1.0","GCA_001857705.1","Full genebuild","-","-"
"Lesser Egyptian jerboa","Jaculus jaculus","51337","JacJac1.0","GCA_000280705.1","Full genebuild","-","-"
"Lesser hedgehog tenrec","Echinops telfairi","9371","TENREC","-","Projection build","-","-"
"Lion","Panthera leo","9689","PanLeo1.0","GCA_008795835.1","Full genebuild","-","-"
"Little spotted kiwi","Apteryx owenii","8824","aptOwe1","GCA_003342965.1","Full genebuild","-","-"
"Live sharksucker","Echeneis naucrates","173247","fEcheNa1.1","GCA_900963305.1","Full genebuild","-","-"
"Long-tailed chinchilla","Chinchilla lanigera","34839","ChiLan1.0","GCA_000276665.1","Full genebuild","-","-"
"Lumpfish","Cyclopterus lumpus","8103","fCycLum1.pri","GCA_009769545.1","Full genebuild","-","-"
"Lyretail cichlid","Neolamprologus brichardi","32507","NeoBri1.0","GCA_000239395.1","Full genebuild","-","-"
"Ma's night monkey","Aotus nancymaae","37293","Anan_2.0","GCA_000952055.2","Full genebuild","-","Y"
"Macaque","Macaca mulatta","9544","Mmul_10","GCA_003339765.3","Full genebuild","Y","Y"
"Mainland tiger snake","Notechis scutatus","8663","TS10Xv2-PRI","GCA_900518725.1","Full genebuild","-","-"
"Makobe Island cichlid","Pundamilia nyererei","303518","PunNye1.0","GCA_000239375.1","Full genebuild","-","-"
"Mallard","Anas platyrhynchos","8839","ASM874695v1","GCA_008746955.1","Full genebuild","-","-"
"Mangrove rivulus","Kryptolebias marmoratus","37003","ASM164957v1","GCA_001649575.1","Full genebuild","-","-"
"Medium ground-finch","Geospiza fortis","48883","GeoFor_1.0","GCA_000277835.1","Full genebuild","-","-"
"Meerkat","Suricata suricatta","37032","meerkat_22Aug2017_6uvM2_HiC","GCA_006229205.1","Full genebuild","-","-"
"Megabat","Pteropus vampyrus","132908","pteVam1","-","Projection build","-","-"
"Mexican tetra","Astyanax mexicanus","7994","Astyanax_mexicanus-2.0","GCA_000372685.2","Full genebuild","-","-"
"Microbat","Myotis lucifugus","59463","Myoluc2.0","GCA_000147115.1","Full genebuild","-","-"
"Midas cichlid","Amphilophus citrinellus","61819","Midas_v5","GCA_000751415.1","Full genebuild","-","-"
"Mongolian gerbil","Meriones unguiculatus","10047","MunDraft-v1.0","GCA_002204375.1","Full genebuild","-","-"
"Monterrey platyfish","Xiphophorus couchianus","32473","Xiphophorus_couchianus-4.0.1","GCA_001444195.1","Full genebuild","-","-"
"Mouse","Mus musculus","10090","GRCm39","GCA_000001635.9","Full genebuild","Y","Y"
"Mouse 129S1/SvImJ","Mus musculus","10090","129S1_SvImJ_v1","GCA_001624185.1","External annotation import","-","Y"
"Mouse A/J","Mus musculus","10090","A_J_v1","GCA_001624215.1","External annotation import","-","Y"
"Mouse AKR/J","Mus musculus","10090","AKR_J_v1","GCA_001624295.1","External annotation import","-","Y"
"Mouse BALB/cJ","Mus musculus","10090","BALB_cJ_v1","GCA_001632525.1","External annotation import","-","Y"
"Mouse C3H/HeJ","Mus musculus","10090","C3H_HeJ_v1","GCA_001632575.1","External annotation import","-","Y"
"Mouse C57BL/6NJ","Mus musculus","10090","C57BL_6NJ_v1","GCA_001632555.1","External annotation import","-","Y"
"Mouse CAST/EiJ","Mus musculus castaneus","10091","CAST_EiJ_v1","GCA_001624445.1","External annotation import","-","Y"
"Mouse CBA/J","Mus musculus","10090","CBA_J_v1","GCA_001624475.1","External annotation import","-","Y"
"Mouse DBA/2J","Mus musculus","10090","DBA_2J_v1","GCA_001624505.1","External annotation import","-","Y"
"Mouse FVB/NJ","Mus musculus","10090","FVB_NJ_v1","GCA_001624535.1","External annotation import","-","Y"
"Mouse LP/J","Mus musculus","10090","LP_J_v1","GCA_001632615.1","External annotation import","-","Y"
"Mouse Lemur","Microcebus murinus","30608","Mmur_3.0","GCA_000165445.3","Full genebuild","-","Y"
"Mouse NOD/ShiLtJ","Mus musculus","10090","NOD_ShiLtJ_v1","GCA_001624675.1","External annotation import","-","Y"
"Mouse NZO/HlLtJ","Mus musculus","10090","NZO_HlLtJ_v1","GCA_001624745.1","External annotation import","-","Y"
"Mouse PWK/PhJ","Mus musculus musculus","39442","PWK_PhJ_v1","GCA_001624775.1","External annotation import","-","Y"
"Mouse WSB/EiJ","Mus musculus domesticus","10092","WSB_EiJ_v1","GCA_001624835.1","External annotation import","-","Y"
"Mummichog","Fundulus heteroclitus","8078","Fundulus_heteroclitus-3.0.2","GCA_000826765.1","Full genebuild","-","Y"
"Muscovy Duck (domestic type)","Cairina moschata domestica","1240228","CaiMos1.0","GCA_009194515.1","Full genebuild","-","-"
"Naked mole-rat female","Heterocephalus glaber","10181","HetGla_female_1.0","GCA_000247695.1","Full genebuild","-","-"
"Naked mole-rat male","Heterocephalus glaber","10181","HetGla_1.0","GCA_000230445.1","Full genebuild","-","-"
"Narwhal","Monodon monoceros","40151","NGI_Narwhal_1","GCA_005190385.2","Full genebuild","-","-"
"New Caledonian crow","Corvus moneduloides","1196302","UO_Cmon_1.0","GCA_009650515.1","Full genebuild","-","-"
"Nile tilapia","Oreochromis niloticus","8128","O_niloticus_UMD_NMBU","GCA_001858045.3","Full genebuild","Y","-"
"Northern American deer mouse","Peromyscus maniculatus bairdii","230844","HU_Pman_2.1","GCA_003704035.1","Full genebuild","-","-"
"Northern pike","Esox lucius","8010","Eluc_v4","GCA_004634155.1","Full genebuild","-","-"
"Northern spotted owl","Strix occidentalis caurina","311401","Soccid_v01","GCA_002372975.1","Full genebuild","-","-"
"Ocean sunfish","Mola mola","94237","ASM169857v1","GCA_001698575.1","Full genebuild","-","-"
"Okarito brown kiwi","Apteryx rowi","308060","aptRow1","GCA_003343035.1","Full genebuild","-","-"
"Olive baboon","Papio anubis","9555","Panubis1.0","GCA_008728515.1","Full genebuild","-","Y"
"Opossum","Monodelphis domestica","13616","ASM229v1","GCA_000002295.1","Full genebuild","Y","-"
"Orange clownfish","Amphiprion percula","161767","Nemo_v1","GCA_003047355.1","Full genebuild","-","-"
"Orbiculate cardinalfish","Sphaeramia orbicularis","375764","fSphaOr1.1","GCA_902148855.1","Full genebuild","-","-"
"Oriental scops-owl","Otus sunia","257818","OtuSun1.0","GCA_010365825.1","Full genebuild","-","-"
"Pachon cavefish","Astyanax mexicanus","7994","Astyanax_mexicanus-1.0.2","GCA_004802775.1","Full genebuild","-","-"
"Painted turtle","Chrysemys picta bellii","8478","Chrysemys_picta_bellii-3.0.3","GCA_000241765.2","Full genebuild","-","-"
"P. kingsleyae","Paramormyrops kingsleyae","1676925","PKINGS_0.1","GCA_002872115.1","Full genebuild","-","-"
"P. magnuspinnatus","Periophthalmus magnuspinnatus","409849","PM.fa","GCA_000787105.1","Full genebuild","-","-"
"Pig","Sus scrofa","9823","Sscrofa11.1","GCA_000003025.6","Full genebuild","Y","Y"
"Pig - Bamei","Sus scrofa","9823","Bamei_pig_v1","GCA_001700235.1","Full genebuild","-","-"
"Pig - Berkshire","Sus scrofa","9823","Berkshire_pig_v1","GCA_001700575.1","Full genebuild","-","-"
"Pig - Hampshire","Sus scrofa","9823","Hampshire_pig_v1","GCA_001700165.1","Full genebuild","-","-"
"Pig - Jinhua","Sus scrofa","9823","Jinhua_pig_v1","GCA_001700295.1","Full genebuild","-","-"
"Pig - Landrace","Sus scrofa","9823","Landrace_pig_v1","GCA_001700215.1","Full genebuild","-","-"
"Pig - Largewhite","Sus scrofa","9823","Large_White_v1","GCA_001700135.1","Full genebuild","-","-"
"Pig - Meishan","Sus scrofa","9823","Meishan_pig_v1","GCA_001700195.1","Full genebuild","-","-"
"Pig - Pietrain","Sus scrofa","9823","Pietrain_pig_v1","GCA_001700255.1","Full genebuild","-","-"
"Pig - Rongchang","Sus scrofa","9823","Rongchang_pig_v1","GCA_001700155.1","Full genebuild","-","-"
"Pig - Tibetan","Sus scrofa","9823","Tibetan_Pig_v2","GCA_000472085.2","Full genebuild","-","-"
"Pig - Wuzhishan","Sus scrofa","9823","minipig_v1.0","GCA_000325925.2","Full genebuild","-","-"
"Pig USMARC","Sus scrofa","9823","USMARCv1.0","GCA_002844635.1","Full genebuild","-","-"
"Pig-tailed macaque","Macaca nemestrina","9545","Mnem_1.0","GCA_000956065.1","Full genebuild","-","Y"
"Pika","Ochotona princeps","9978","OchPri2.0-Ens","-","Projection build","-","-"
"Pike-perch","Sander lucioperca","283035","SLUC_FBN_1","GCA_008315115.1","Full genebuild","-","-"
"Pinecone soldierfish","Myripristis murdjan","586833","fMyrMur1.1","GCA_902150065.1","Full genebuild","-","-"
"Pink-footed goose","Anser brachyrhynchus","132585","ASM259213v1","GCA_002592135.1","Full genebuild","-","-"
"Platyfish","Xiphophorus maculatus","8083","X_maculatus-5.0-male","GCA_002775205.2","Full genebuild","-","-"
"Platypus","Ornithorhynchus anatinus","9258","mOrnAna1.p.v1","GCA_004115215.2","Full genebuild","Y","Y"
"Polar bear","Ursus maritimus","29073","UrsMar_1.0","GCA_000687225.1","Full genebuild","-","-"
"Prairie vole","Microtus ochrogaster","79684","MicOch1.0","GCA_000317375.1","Full genebuild","-","-"
"Rabbit","Oryctolagus cuniculus","9986","OryCun2.0","GCA_000003625.1","Full genebuild","Y","Y"
"Rainbow trout","Oncorhynchus mykiss","8022","Omyk_1.0","GCA_002163495.1","Full genebuild","-","-"
"Rat","Rattus norvegicus","10116","mRatBN7.2","GCA_015227675.2","Full genebuild","Y","-"
"Red fox","Vulpes vulpes","9627","VulVul2.2","GCA_003160815.1","Full genebuild","-","-"
"Red-bellied piranha","Pygocentrus nattereri","42514","Pygocentrus_nattereri-1.0.2","GCA_001682695.1","Full genebuild","-","-"
"Reedfish","Erpetoichthys calabaricus","27687","fErpCal1.1","GCA_900747795.2","Full genebuild","-","-"
"Ring-necked pheasant","Phasianus colchicus","9054","ASM414374v1","GCA_004143745.1","Full genebuild","-","-"
"Round goby","Neogobius melanostomus","47308","RGoby_Basel_V2","GCA_007210695.1","Full genebuild","-","-"
"Ruff","Calidris pugnax","198806","ASM143184v1","GCA_001431845.1","Full genebuild","-","-"
"Rufous-capped babbler","Cyanoderma ruficeps","181631","ASM869450v1","GCA_008694505.1","Full genebuild","-","-"
"Ryukyu mouse","Mus caroli","10089","CAROLI_EIJ_v1.1","GCA_900094665.2","External annotation import","-","-"
